path,size,mtime,ext
.env,1110,1754641879.5831983,
.gitattributes,210,1754212108.6332204,
.gitignore,601,1754228045.7247305,
.req_sanitized.txt,4322,1754617828.6282983,.txt
before.txt,4334,1754559192.0593276,.txt
exclude.txt,40,1754550019.820221,.txt
final_verified_structure_completed.txt,17996,1753858664.2316613,.txt
giwan-reboot-65698a5b45ca.json,2368,1754103223.4104426,.json
giwanos_backup_structure.txt,30594,1753848027.7073064,.txt
giwanos_file_structure.txt,483834,1754556074.9582143,.txt
installed_packages.txt,2546,1754306132.19811,.txt
persistent_memory.db,12288,1754056101.8505085,.db
pytest.ini,138,1754213906.1198816,.ini
README.md,1384,1754405209.8049421,.md
reflective_evaluator.py,789,1754092350.3711507,.py
requirements_locked.txt,8800,1754560787.8943791,.txt
req_runtime_min.txt,71,1754637342.5834115,.txt
req_sanitized.txt,4288,1754637462.7227585,.txt
run-velos.bat,95,1754628335.2328703,.bat
run-velos.ps1,257,1754626396.4923315,.ps1
sample_100.ndjson,115485,1754527272.8567686,.ndjson
spec_overrides.yaml,260,1754617156.5181637,.yaml
test_cohere_api.py,1234,1754237880.6630957,.py
test_cohere_latest.py,1280,1754238991.812104,.py
test_cohere_newest.py,1291,1754239423.2035027,.py
test_font_load.py,651,1754195236.421567,.py
velos_deep_audit.py,6354,1754699075.0820723,.py
VELOS_SYSTEM_DECLARATION.py,997,1754362934.1905577,.py
zipclean.sh,858,1754046056.6703582,.sh
밸로스 설계.txt,4379,1754698485.4439225,.txt
.pytest_cache\.gitignore,39,1754216755.1649976,
.pytest_cache\CACHEDIR.TAG,191,1754216755.1649976,.tag
.pytest_cache\README.md,310,1754216755.1640005,.md
.pytest_cache\v\cache\lastfailed,171,1754624507.7664757,
.pytest_cache\v\cache\nodeids,368,1754624692.1881738,
.vscode\settings.json,68,1754628382.920139,.json
audit\env.json,250,1754699086.0370915,.json
audit\pip_freeze.txt,4497,1754699087.8704128,.txt
configs\.env,161,1754642374.3966472,
configs\.env.example,595,1754622679.3015137,.example
configs\api_cost_management.py,109,1753933664.782537,.py
configs\api_usage_policy.json,2,1753856876.0831754,.json
configs\data_management_policy.json,2,1753856876.0871603,.json
configs\env_test.py,341,1754209639.8604412,.py
configs\fallback_stats.json,134,1753856876.076669,.json
configs\giwanos_agentos_final_architecture.md,1643,1753856876.0756726,.md
configs\integration_checklist.md,1576,1753856876.0831754,.md
configs\judgment_rules.json,901,1754274945.748348,.json
configs\memory_schema.yaml,197,1754527250.0933664,.yaml
configs\README.md,35,1753856876.0861616,.md
configs\requirements_rag.txt,91,1754532402.9693706,.txt
configs\rl_hyperparams.json,2,1753856876.0931425,.json
configs\search_keywords.yaml,91,1754158022.8980122,.yaml
configs\settings.yaml,22,1754617156.514309,.yaml
configs\system_config.json,32,1754617156.5097046,.json
configs\troubleshooting.md,35,1753856876.0941389,.md
configs\__init__.py,255,1754154913.186631,.py
configs\security\config.key,22,1753856876.667318,.key
configs\security\encrypt_config.py,37,1753856876.680284,.py
configs\vector_index\index.faiss,6189,1753856876.108102,.faiss
data\decision_rules.json,3747,1753856876.1905167,.json
data\backups\run_giwanos_master_loop_20250805.py,7056,1754316374.640829,.py
data\backups\weekly_report_20250805.zip,189343,1754368879.3160295,.zip
data\exports\VELOS_report_20250806.zip,207055,1754479081.7155092,.zip
data\judgments\judgment_20250807_0321.json,341,1754536875.956026,.json
data\judgments\judgment_20250807_0322.json,341,1754536950.105512,.json
data\judgments\judgment_20250807_0357.json,341,1754539053.6164472,.json
data\judgments\judgment_20250807_0404.json,341,1754539472.8712032,.json
data\judgments\judgment_20250807_0410.json,341,1754539845.9160633,.json
data\judgments\judgment_20250807_0416.json,341,1754540197.4388123,.json
data\judgments\judgment_20250807_0434.json,341,1754541279.954273,.json
data\judgments\judgment_history_index.json,107033,1754695994.0435388,.json
data\logs\adaptive_reasoning_agent.log,10009,1754695995.9207485,.log
data\logs\advanced_rag.log,4389,1754386535.009118,.log
data\logs\api_cost_log.json,30467,1754695994.0333512,.json
data\logs\auto_recovery.log,3875,1754278471.2247756,.log
data\logs\context_aware_decision_engine.log,9037,1754201988.239115,.log
data\logs\cot_evaluator.log,2414,1754386534.9861856,.log
data\logs\design_conformance.json,6578,1754639573.7050493,.json
data\logs\file_registry.json,87,1754352396.1413221,.json
data\logs\loop_result_log.json,121,1754305681.1856768,.json
data\logs\loop_state_tracker.json,596,1754479081.7234895,.json
data\logs\mail_log.jsonl,6742,1754695994.6960692,.jsonl
data\logs\maintenance_log.jsonl,1364,1754668802.5985284,.jsonl
data\logs\masterloop_task.log,36331,1754695996.0622573,.log
data\logs\master_loop.log,45478,1754194516.3457406,.log
data\logs\master_loop_execution.log,227870,1754695995.9257188,.log
data\logs\rag_poc_log.txt,134,1754532904.037671,.txt
data\logs\recovery_log.json,218,1754209639.8624372,.json
data\logs\refactor_recommendations.md,1381,1754209639.8634346,.md
data\logs\rule_optimizer.log,8019,1754695995.9227269,.log
data\logs\snapshot_manager.log,630,1754271869.623515,.log
data\logs\system_health.bak,327,1754200829.8217232,.bak
data\logs\system_health.json,5595,1754695982.8172624,.json
data\logs\test_script_output.log,43,1754374557.8022563,.log
data\logs\threshold_optimizer.log,7452,1754695995.921729,.log
data\memory\cot_prompt_test_log.json,482,1753856876.4080303,.json
data\memory\dialog_memory.json,108027,1754695994.038285,.json
data\memory\identity_memory.json,166,1754274714.78074,.json
data\memory\learning_memory.json,98311,1754479078.214142,.json
data\memory\learning_summary.json,476,1754408643.9340267,.json
data\memory\loop_evaluation_score.json,201,1753856876.4179852,.json
data\memory\loop_history.csv,1528,1753856876.4219751,.csv
data\memory\notion_reflection_date_augmented.csv,398,1753856876.4249668,.csv
data\memory\notion_system_entry_summary.json,496,1753856876.4269612,.json
data\memory\report_status.json,124,1753856876.4299538,.json
data\metrics\snapshot.py,923,1754630621.6451538,.py
data\metrics\weekly_stats.json,409,1754631232.1961281,.json
data\reflections\adaptive_reasoning_20250728_012610.md,2201,1753856876.2199535,.md
data\reflections\adaptive_reasoning_20250728_012610.txt,2201,1753856876.1950204,.txt
data\reflections\adaptive_reasoning_20250728_015856.md,2301,1753856876.221948,.md
data\reflections\adaptive_reasoning_20250728_015856.txt,2301,1753856876.1990116,.txt
data\reflections\adaptive_reasoning_20250728_020942.md,2263,1753856876.2239432,.md
data\reflections\adaptive_reasoning_20250728_020942.txt,2263,1753856876.2030005,.txt
data\reflections\adaptive_reasoning_20250730_173453.md,1853,1753864493.0222437,.md
data\reflections\adaptive_reasoning_20250730_173453.txt,1853,1753864493.023242,.txt
data\reflections\adaptive_reasoning_20250730_174255.md,2187,1753864975.108328,.md
data\reflections\adaptive_reasoning_20250730_174255.txt,2187,1753864975.1093295,.txt
data\reflections\adaptive_reasoning_20250730_181959.md,2186,1753867199.3940141,.md
data\reflections\adaptive_reasoning_20250730_181959.txt,2186,1753867199.3960094,.txt
data\reflections\adaptive_reasoning_20250731_102650.md,2196,1753925210.0826442,.md
data\reflections\adaptive_reasoning_20250731_102650.txt,2196,1753925210.084638,.txt
data\reflections\adaptive_reasoning_20250731_201033.md,2310,1753960233.3739448,.md
data\reflections\adaptive_reasoning_20250731_201033.txt,2310,1753960233.3749144,.txt
data\reflections\adaptive_reasoning_20250731_201421.md,2659,1753960461.4834354,.md
data\reflections\adaptive_reasoning_20250731_201421.txt,2659,1753960461.4844356,.txt
data\reflections\adaptive_reasoning_20250731_202356.md,2417,1753961036.7810142,.md
data\reflections\adaptive_reasoning_20250731_202356.txt,2417,1753961036.782006,.txt
data\reflections\adaptive_reflection_20250727_224608.md,1735,1753856876.2259378,.md
data\reflections\adaptive_reflection_20250727_224608.txt,1735,1753856876.208983,.txt
data\reflections\adaptive_reflection_20250727_225413.md,1829,1753856876.227932,.md
data\reflections\adaptive_reflection_20250727_225413.txt,1829,1753856876.211975,.txt
data\reflections\adaptive_reflection_20250727_230311.md,1870,1753856876.2299266,.md
data\reflections\adaptive_reflection_20250727_230311.txt,1870,1753856876.2149668,.txt
data\reflections\adaptive_reflection_20250728_001747.md,1681,1753856876.2319217,.md
data\reflections\adaptive_reflection_20250728_001747.txt,1681,1753856876.2169616,.txt
data\reflections\adaptive_reflection_20250728_012555.md,315,1753856876.2349138,.md
data\reflections\adaptive_reflection_20250728_012555.txt,315,1753856876.2369082,.txt
data\reflections\adaptive_reflection_20250728_015845.md,1336,1753856876.2399,.md
data\reflections\adaptive_reflection_20250728_015845.txt,1336,1753856876.2189562,.txt
