path,size,mtime,ext
venv\Lib\site-packages\pyarrow\arrow.dll,21367296,1754637397.1317391,.dll
venv\Lib\site-packages\numpy.libs\libscipy_openblas64_-860d95b1c38e637ce4509f5fa24fbf2a.dll,20403712,1754637400.3629131,.dll
fonts\Nanum_Gothic\NotoSansCJKkr-Bold.otf,16997996,1754190205.300669,.otf
venv\src\giwanos\fonts\Nanum_Gothic\NotoSansCJKkr-Bold.otf,16997996,1754637114.1638799,.otf
fonts\Nanum_Gothic\NotoSansCJKkr-Regular.otf,16433112,1754190184.372171,.otf
venv\src\giwanos\fonts\Nanum_Gothic\NotoSansCJKkr-Regular.otf,16433112,1754637114.2944968,.otf
venv\Lib\site-packages\pydeck\nbextension\static\index.js.map,11792363,1754637406.244535,.map
venv\share\jupyter\nbextensions\pydeck\index.js.map,11792363,1754637406.3095064,.map
venv\Lib\site-packages\pyarrow\arrow_flight.dll,10711040,1754637397.2568016,.dll
venv\Lib\site-packages\pyarrow\arrow_compute.dll,10300928,1754637397.1944647,.dll
venv\Lib\site-packages\PIL\_avif.cp311-win_amd64.pyd,7832064,1754637398.8413029,.pyd
venv\Lib\site-packages\pyarrow\parquet.dll,6291456,1754637397.34301,.dll
fonts\NotoSansKR-Regular.ttf,6185516,1753856876.6204453,.ttf
fonts\Nanum_Gothic\NotoSansKR-Regular.ttf,6185516,1753856876.6204453,.ttf
venv\src\giwanos\fonts\NotoSansKR-Regular.ttf,6185516,1754637114.485017,.ttf
venv\src\giwanos\fonts\Nanum_Gothic\NotoSansKR-Regular.ttf,6185516,1754637114.4341574,.ttf
fonts\Nanum_Gothic\NotoSansKR-Bold.ttf,6183580,1753856876.5496323,.ttf
venv\src\giwanos\fonts\Nanum_Gothic\NotoSansKR-Bold.ttf,6183580,1754637114.339377,.ttf
fonts\Nanum_Gothic\NotoSansKR-Medium.ttf,6183044,1753856876.544645,.ttf
venv\src\giwanos\fonts\Nanum_Gothic\NotoSansKR-Medium.ttf,6183044,1754637114.3882477,.ttf
venv\Lib\site-packages\streamlit\static\static\js\index.DvRPFfw6.js,6079719,1754637418.443887,.js
venv\Lib\site-packages\pythonwin\mfc140u.dll,5653576,1754637971.6232867,.dll
venv\Lib\site-packages\pydantic_core\_pydantic_core.cp311-win_amd64.pyd,5282304,1754637405.5154018,.pyd
venv\Lib\site-packages\streamlit\static\static\js\index.6s0nVIis.js,4694959,1754637418.3811533,.js
venv\Lib\site-packages\numpy\_core\_multiarray_umath.cp311-win_amd64.pyd,4522496,1754637400.143061,.pyd
venv\Lib\site-packages\pyarrow\arrow.lib,4070906,1754637397.142604,.lib
venv\Lib\site-packages\pyarrow\lib.cp311-win_amd64.pyd,3810816,1754637397.3104036,.pyd
venv\Lib\site-packages\streamlit\static\static\js\index.DCpyIFTV.js,3385201,1754637418.4179282,.js
venv\Lib\site-packages\PyWin32.chm,2639766,1754637971.5642087,.chm
venv\Lib\site-packages\pydeck\nbextension\static\index.js,2594815,1754637406.198855,.js
venv\share\jupyter\nbextensions\pydeck\index.js,2594815,1754637406.264596,.js
venv\Lib\site-packages\streamlit\static\static\js\index.Cb0xSF7V.js,2570188,1754637418.3970816,.js
venv\Lib\site-packages\PIL\_imaging.cp311-win_amd64.pyd,2489856,1754637398.8596306,.pyd
venv\Lib\site-packages\numpy\_core\_simd.cp311-win_amd64.pyd,2411520,1754637400.1540568,.pyd
venv\Lib\site-packages\pyarrow\arrow_substrait.dll,2369536,1754637397.2790103,.dll
fonts\Nanum_Gothic\NanumGothic-ExtraBold.ttf,2111196,1753856876.4848063,.ttf
venv\src\giwanos\fonts\Nanum_Gothic\NanumGothic-ExtraBold.ttf,2111196,1754637114.0079556,.ttf
fonts\Nanum_Gothic\NanumGothic-Bold.ttf,2072388,1753856876.4538896,.ttf
venv\src\giwanos\fonts\Nanum_Gothic\NanumGothic-Bold.ttf,2072388,1754637113.992997,.ttf
fonts\Nanum_Gothic\NanumGothic-Regular.ttf,2053328,1753856876.4718404,.ttf
venv\src\giwanos\fonts\Nanum_Gothic\NanumGothic-Regular.ttf,2053328,1754637114.0222232,.ttf
venv\Lib\site-packages\pandas\_libs\groupby.cp311-win_amd64.pyd,2050560,1754637408.0188498,.pyd
venv\Lib\site-packages\PIL\_imagingft.cp311-win_amd64.pyd,2010624,1754637398.8756187,.pyd
venv\Lib\site-packages\pandas\_libs\hashtable.cp311-win_amd64.pyd,1865728,1754637408.0298245,.pyd
venv\Lib\site-packages\altair\vegalite\v5\schema\vega-lite-schema.json,1847283,1754637417.656724,.json
venv\Lib\site-packages\pandas\_libs\algos.cp311-win_amd64.pyd,1803776,1754637408.006197,.pyd
venv\Lib\site-packages\pythonwin\scintilla.dll,1565184,1754637971.6326306,.dll
venv\Lib\site-packages\altair\vegalite\v5\schema\core.py,1554066,1754637417.649714,.py
venv\Lib\site-packages\pyarrow\arrow_dataset.dll,1327616,1754637397.201947,.dll
venv\Lib\site-packages\pyarrow\arrow_acero.dll,1268736,1754637397.1505558,.dll
venv\Lib\site-packages\pyarrow\arrow_python.dll,1212416,1754637397.2642274,.dll
venv\Lib\site-packages\altair\vegalite\v5\schema\channels.py,1177684,1754637417.6457245,.py
venv\Lib\site-packages\pythonwin\win32ui.pyd,1142784,1754637971.6385872,.pyd
venv\Lib\site-packages\pandas\_libs\join.cp311-win_amd64.pyd,1079296,1754637408.0539174,.pyd
venv\Lib\site-packages\pandas\_libs\interval.cp311-win_amd64.pyd,1064448,1754637408.0479333,.pyd
venv\Lib\site-packages\pyarrow\_flight.cp311-win_amd64.pyd,872448,1754637397.3830123,.pyd
venv\Lib\site-packages\pyarrow\_compute.cp311-win_amd64.pyd,867328,1754637397.3584292,.pyd
venv\Lib\site-packages\streamlit\static\static\js\index.0XDwe9RV.js,851902,1754637418.358187,.js
venv\Lib\site-packages\streamlit\static\static\js\index.mRztGO69.js,851494,1754637418.4538558,.js
venv\Lib\site-packages\pandas\_libs\tslibs\offsets.cp311-win_amd64.pyd,812544,1754637408.117744,.pyd
